type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,p_i_or_b,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,customer_duration,target
month-to-month,no,mailed check,29.15,29.15,male,0,no,no,internet,dsl,no,no,no,yes,no,no,nan,16.265794992875684,0
month-to-month,yes,electronic check,45.3,45.3,female,0,no,no,both,dsl,no,no,no,no,no,no,no,17.061337604664192,1
month-to-month,yes,electronic check,94.2,1046.1,female,0,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,350.586620483837,1
two year,yes,mailed check,29.6,299.05,female,0,no,no,internet,dsl,no,no,no,yes,no,no,nan,293.9259547775878,0
month-to-month,no,mailed check,20.0,32.7,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,49.401871124833264,0
month-to-month,yes,credit card (automatic),34.7,296.1,male,0,no,no,internet,dsl,no,no,no,no,yes,no,nan,260.7955102771072,1
month-to-month,yes,electronic check,93.8,4539.35,female,0,yes,yes,both,fiber optic,yes,yes,no,no,no,yes,yes,1538.0950019306965,0
one year,yes,electronic check,79.4,4820.55,female,0,yes,yes,both,dsl,yes,yes,yes,yes,no,yes,yes,1842.5706163877846,0
month-to-month,yes,electronic check,84.45,762.5,female,1,no,no,both,fiber optic,no,no,no,no,no,yes,yes,258.1372129222013,1
one year,yes,credit card (automatic),25.7,1714.55,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1997.6463382047825,0
month-to-month,no,bank transfer (automatic),54.65,1830.1,female,1,no,no,both,dsl,no,yes,no,yes,no,no,no,961.8904435351287,0
two year,yes,credit card (automatic),70.85,4973.4,male,0,yes,yes,both,dsl,yes,no,yes,yes,no,yes,no,2150.826837487915,0
month-to-month,yes,mailed check,45.0,1242.45,male,0,no,yes,internet,dsl,yes,yes,yes,yes,no,no,nan,869.3514975856291,0
month-to-month,no,credit card (automatic),25.0,789.2,male,0,no,yes,internet,dsl,no,no,no,no,no,no,nan,930.5836942713217,0
one year,no,bank transfer (automatic),77.2,2753.8,male,0,yes,yes,both,dsl,no,no,yes,no,yes,yes,yes,1023.4379555894409,0
two year,yes,credit card (automatic),66.5,4811.6,male,0,yes,yes,both,dsl,yes,no,yes,yes,no,no,yes,2176.0098905704635,0
month-to-month,yes,credit card (automatic),94.2,5895.45,female,1,yes,no,both,fiber optic,yes,yes,yes,yes,no,no,yes,1843.9604566851497,0
one year,yes,electronic check,94.0,4871.45,female,1,yes,no,both,fiber optic,no,yes,yes,yes,yes,no,no,1601.838605492385,0
month-to-month,yes,mailed check,51.8,1023.85,male,0,no,no,both,dsl,no,yes,no,no,no,no,no,596.5140380572506,0
one year,no,bank transfer (automatic),50.05,2029.05,female,0,no,no,both,dsl,no,no,no,yes,no,no,no,1235.9241525992968,0
two year,no,credit card (automatic),88.65,5321.25,female,0,no,no,both,dsl,no,yes,yes,yes,yes,yes,yes,1844.2876726742659,0
month-to-month,yes,bank transfer (automatic),44.9,44.9,female,0,no,no,both,dsl,no,no,no,no,no,no,no,16.316866734764204,1
one year,yes,mailed check,35.4,1748.9,male,0,no,no,internet,dsl,yes,no,no,yes,no,no,nan,1510.1642031527574,0
month-to-month,no,credit card (automatic),101.3,1794.65,male,0,no,no,both,fiber optic,no,yes,yes,no,yes,yes,no,535.2553505367389,0
month-to-month,yes,electronic check,89.8,502.6,male,1,no,no,both,fiber optic,no,yes,no,no,no,yes,yes,138.0091656300366,1
one year,yes,electronic check,92.05,5755.8,female,0,no,no,both,fiber optic,yes,yes,yes,no,no,no,yes,1874.536041462473,0
